ID;BA;Cyano
400149;231044.2144873;96.8783638320775
400145;223523.206751055;28.4575981787137
400143;223847.695390781;241.460541813899
400140;197653.846153846;245.202558635394
400136;250331.753554502;286.268801552644
400133;230131.680867545;169.491525423729
400244;849289.099526067;133.704735376045
400241;974092.17877095;179.775280898877
400239;881282.820705176;188.087774294671
400235;878060.836501901;141.372141372141
400232;800524.616626312;100.692259282568
400229;922950.290510006;115.681233933162
400365;292942.050520059;11.8203309692671
400362;383204.76858345;34.7222222222222
400360;528298.39704069;35.5029585798816
400355;234210.526315789;45.3001132502831
400352;233409.836065574;5.74052812858783
400349;247056.483691329;50.6842372022301
400468;623265.706806283;157.529930686831
400464;636450.247000705;189.950980392157
400462;584495.488105004;310.262529832936
400458;556154.465004022;292.333149476007
400455;548342.32845027;383.734249713631
400452;512690.707350901;245.040840140024
400563;236396.724294813;283.645141822571
400560;228812.691914022;299.0834539315
400558;233437.952679865;269.832703723691
400554;241912.908242613;315.614617940199
400551;227042.577675489;307.434320849637
400548;233735.458853942;297.961317302666
400804;274363.131079203;42.3370025402201
400801;282439.537329127;57.9950289975145
400799;273838.495575221;33.5758254057079
400795;288384.615384615;44.3704936217416
400792;290478.723404255;34.1296928327645
400789;249189.985272459;49.1534680502458
400889;408155.699721965;18.6219739292365
400886;409642.032332564;60.0436681222708
400883;411364.643331856;19.3174500965872
400880;409642.857142857;40.983606557377
400877;424405.506883604;19.280205655527
400874;402977.099236641;59.1366055588409
407872;263636.363636364;121.614151464898
407869;267062.314540059;55.9284116331096
407867;272951.18674429;148.367952522255
407863;282613.015399901;82.4014125956445
407860;285812.306330235;74.8663101604278
407857;308722.358722359;180.866254164683
407968;494337.194337195;40.8401400233372
407965;468539.325842697;56.9151963574274
407963;501588.562351072;75.5813953488372
407959;468736.383442265;170.827858081472
407956;444321.646341463;371.621621621622
407953;477267.441860467;599.284436493739
408040;1009253.13945803;176.274416388757
408037;1011072.33502538;75.3498385360603
408035;1000067.43088334;83.4151128557409
408031;679122.257053292;75.02679528403
408028;757792.207792208;55.6792873051225
408025;788684.020245842;82.6848249027237
408063;490138.067061144;27.2851296043656
408061;434129.119031607;4.57038391224863
408059;418992.248062015;15.4162384378212
408055;428521.617852162;23.8663484486874
408053;363306.451612903;4.6339202965709
408050;322191.52854512;28.116213683224
408231;663090.909090909;59.8151169113649
408230;621397.649969079;49.3962678375412
408229;633694.181326116;103.092783505155
408227;581870.460048426;29.1970802919708
408226;524813.811780636;45.7084814626714
408224;538061.797752809;32.4675324675325
408276;458337.46898263;149.597238204833
408272;423113.20754717;23.1080300404391
408270;321983.428275505;380
408265;511902.286902287;387.355298308103
408263;531192.438196801;480.446927374302
408260;464467.005076142;268.407689517592
408374;413715.529753265;30.0525920360631
408373;390228.370663153;30.3490136570562
408372;405263.157894737;159.29203539823
408371;416732.283464567;68.2982356289129
408370;518298.687089716;37.4331550802139
408396;349950.763170852;46.7775467775468
408392;346570.30867222;41.5368639667705
408390;322713.074520303;47.4495848161329
408386;345416.472778036;46.9798657718121
408383;324254.426840634;38.4615384615384
408380;343618.546845124;64.1025641025641
408491;493253.373313343;113.791533909877
408488;456701.030927835;77.5547445255474
408486;472664.700098328;81.008100810081
408482;465518.084066471;52.1821631878558
408479;401251.203079885;41.7052826691381
408476;354059.829059829;32.1691176470588
433246;597000;116.666666666667
433242;607638.888888889;66.6666666666667
433240;635333.333333333;50
433238;989472.222222222;122.222222222222
433234;1016861.11111111;138.888888888889
433231;681805.555555556;116.666666666667
433318;928055.555555556;266.666666666667
433314;948611.111111111;244.444444444444
433312;846694.444444444;188.888888888889
433310;691305.555555556;238.888888888889
433306;626792.662590328;272.222222222222
433303;531972.222222222;405.555555555556
433392;584722.222222222;233.333333333333
433388;612472.222222222;266.666666666667
433386;607361.111111111;166.666666666667
433384;670000;194.444444444444
433380;585888.888888889;222.222222222222
433377;532472.222222222;200
433442;605222.222222222;144.444444444444
433438;664361.111111111;227.777777777778
433436;618833.333333333;111.111111111111
433434;651861.111111111;155.555555555556
433430;650194.444444444;183.333333333333
433427;645166.666666667;155.555555555556
433569;509750;205.555555555556
433565;526833.333333333;94.4444444444445
433563;313361.111111111;83.3333333333333
433561;290972.222222222;116.666666666667
433557;276888.888888889;66.6666666666667
433554;291472.222222222;61.1111111111111
433643;785083.333333333;666.666666666667
433639;751222.222222222;788.888888888889
433637;746722.222222222;766.666666666667
433635;745805.555555556;572.222222222222
433631;645777.777777778;1322.95719844358
433628;447944.444444444;1366.66666666667
433731;644993.961352657;338.888888888889
433727;708510.628019324;350
433725;723338.647342995;255.555555555556
433723;712018.599033816;172.222222222222
433719;712615.700483092;272.222222222222
433716;706968.115942029;183.333333333333
433946;397868.599033816;61.1111111111111
433942;423842.512077295;61.1111111111111
433940;430883.333333333;77.7777777777778
433938;415458.212560386;88.8888888888889
433934;335421.739130435;44.4444444444444
433931;237895.169082126;22.2222222222222
