ID;EnvID;Year;Station;Living;Depth;DSP-4;DSP-1;Watermass
400140R102b;400140;2014;17;free;30;-21;-21;CLB
400149R102b;400149;2014;17;free;2;-21;-21;CLB
400235R102b;400235;2014;20;free;30;-12;-12;CLB
400235R13b;400235;2014;20;attach;30;-12;-12;CLB
400244R102b;400244;2014;20;free;2;-12;-12;CLB
400244R13b;400244;2014;20;attach;2;-12;-12;CLB
400355R102b;400355;2014;27.5;free;30;-19;-19;GSS
400365R102b;400365;2014;27.5;free;2;-19;-19;GSS
400468R13b;400468;2014;22;attach;2;-18;-18;CLB
400468R202b;400468;2014;22;free;2;-18;-18;CLB
400795R102b;400795;2014;5;free;30;-31;-39;LSS
400804R102b;400804;2014;5;free;2;-31;-39;LSS
407863R102b;407863;2015;14;free;30;-11;-11;CLB
407872R202b;407872;2015;14;free;2;-11;-11;CLB
408031R102b;408031;2015;23;free;30;-9;-9;CLB
408031R13b;408031;2015;23;attach;30;-9;-9;CLB
408040R102b;408040;2015;23;free;2;-9;-9;CLB
408040R13b;408040;2015;23;attach;2;-9;-9;CLB
408231R202b;408231;2015;18;free;2;-7;1;CLB
408386R102b;408386;2015;08.5;free;30;-21;-21;LSS
408396R102b;408396;2015;08.5;free;2;-21;-21;LSS
433238t30;433238;2016;08.5;old;30;-52;-52;LSS
433238R202b;433238;2016;08.5;free;30;-52;-52;LSS
433246t30;433246;2016;08.5;old;2;-52;-52;LSS
433246R202b;433246;2016;08.5;free;2;-52;-52;LSS
433310R202b;433310;2016;13.5;free;30;-43;-43;CLB
433310t30;433310;2016;13.5;old;30;-43;-43;CLB
433318t30;433318;2016;13.5;old;2;-43;-43;CLB
433318R202b;433318;2016;13.5;free;2;-43;-43;CLB
433434R202b;433434;2016;20.5;free;30;-41;-25;CLB
433442R202b;433442;2016;20.5;free;2;-41;-25;CLB
433561t30;433561;2016;28.5;old;30;0;0;GSS
433561R202b;433561;2016;28.5;free;30;0;0;GSS
433569t30;433569;2016;28.5;old;2;0;0;GSS
433569R202b;433569;2016;28.5;free;2;0;0;GSS
433635R202b;433635;2016;23.5;free;30;-47;-47;CLB
433635t30;433635;2016;23.5;old;30;-47;-47;CLB
433643R202b;433643;2016;23.5;free;2;-47;-47;CLB
433643t30;433643;2016;23.5;old;2;-47;-47;CLB
433938R102b;433938;2016;6;free;30;-36;-28;LSS
433946R202b;433946;2016;6;free;2;-36;-28;LSS
